"Statistic Label","Month","Type of Loan","UNIT","VALUE"
"Outstanding amount of loans and securitisations","2003M01","Loans to households, including securitisations","Euro Million","60704"
"Outstanding amount of loans and securitisations","2003M01","Loans to non-financial corporations, including securitisations","Euro Million","46469.3"
"Outstanding amount of loans and securitisations","2003M02","Loans to households, including securitisations","Euro Million","61829"
"Outstanding amount of loans and securitisations","2003M02","Loans to non-financial corporations, including securitisations","Euro Million","46932.3"
"Outstanding amount of loans and securitisations","2003M03","Loans to households, including securitisations","Euro Million","62638"
"Outstanding amount of loans and securitisations","2003M03","Loans to non-financial corporations, including securitisations","Euro Million","47627.8"
"Outstanding amount of loans and securitisations","2003M04","Loans to households, including securitisations","Euro Million","63674"
"Outstanding amount of loans and securitisations","2003M04","Loans to non-financial corporations, including securitisations","Euro Million","47966.3"
"Outstanding amount of loans and securitisations","2003M05","Loans to households, including securitisations","Euro Million","64602"
"Outstanding amount of loans and securitisations","2003M05","Loans to non-financial corporations, including securitisations","Euro Million","48567.4"
"Outstanding amount of loans and securitisations","2003M06","Loans to households, including securitisations","Euro Million","65640"
"Outstanding amount of loans and securitisations","2003M06","Loans to non-financial corporations, including securitisations","Euro Million","49935.6"
"Outstanding amount of loans and securitisations","2003M07","Loans to households, including securitisations","Euro Million","67102"
"Outstanding amount of loans and securitisations","2003M07","Loans to non-financial corporations, including securitisations","Euro Million","50475.9"
"Outstanding amount of loans and securitisations","2003M08","Loans to households, including securitisations","Euro Million","67989"
"Outstanding amount of loans and securitisations","2003M08","Loans to non-financial corporations, including securitisations","Euro Million","51216.6"
"Outstanding amount of loans and securitisations","2003M09","Loans to households, including securitisations","Euro Million","69352"
"Outstanding amount of loans and securitisations","2003M09","Loans to non-financial corporations, including securitisations","Euro Million","51993.5"
"Outstanding amount of loans and securitisations","2003M10","Loans to households, including securitisations","Euro Million","70552"
"Outstanding amount of loans and securitisations","2003M10","Loans to non-financial corporations, including securitisations","Euro Million","52336.6"
"Outstanding amount of loans and securitisations","2003M11","Loans to households, including securitisations","Euro Million","72150"
"Outstanding amount of loans and securitisations","2003M11","Loans to non-financial corporations, including securitisations","Euro Million","52967.1"
"Outstanding amount of loans and securitisations","2003M12","Loans to households, including securitisations","Euro Million","73915"
"Outstanding amount of loans and securitisations","2003M12","Loans to non-financial corporations, including securitisations","Euro Million","54611.9"
"Outstanding amount of loans and securitisations","2004M01","Loans to households, including securitisations","Euro Million","75093"
"Outstanding amount of loans and securitisations","2004M01","Loans to non-financial corporations, including securitisations","Euro Million","55050.6"
"Outstanding amount of loans and securitisations","2004M02","Loans to households, including securitisations","Euro Million","76271"
"Outstanding amount of loans and securitisations","2004M02","Loans to non-financial corporations, including securitisations","Euro Million","56357.6"
"Outstanding amount of loans and securitisations","2004M03","Loans to households, including securitisations","Euro Million","77710"
"Outstanding amount of loans and securitisations","2004M03","Loans to non-financial corporations, including securitisations","Euro Million","58988.6"
"Outstanding amount of loans and securitisations","2004M04","Loans to households, including securitisations","Euro Million","79291"
"Outstanding amount of loans and securitisations","2004M04","Loans to non-financial corporations, including securitisations","Euro Million","58930.1"
"Outstanding amount of loans and securitisations","2004M05","Loans to households, including securitisations","Euro Million","81098"
"Outstanding amount of loans and securitisations","2004M05","Loans to non-financial corporations, including securitisations","Euro Million","61114.7"
"Outstanding amount of loans and securitisations","2004M06","Loans to households, including securitisations","Euro Million","82961"
"Outstanding amount of loans and securitisations","2004M06","Loans to non-financial corporations, including securitisations","Euro Million","62151.3"
"Outstanding amount of loans and securitisations","2004M07","Loans to households, including securitisations","Euro Million","86928"
"Outstanding amount of loans and securitisations","2004M07","Loans to non-financial corporations, including securitisations","Euro Million","63492.1"
"Outstanding amount of loans and securitisations","2004M08","Loans to households, including securitisations","Euro Million","88397"
"Outstanding amount of loans and securitisations","2004M08","Loans to non-financial corporations, including securitisations","Euro Million","63657.9"
"Outstanding amount of loans and securitisations","2004M09","Loans to households, including securitisations","Euro Million","90209"
"Outstanding amount of loans and securitisations","2004M09","Loans to non-financial corporations, including securitisations","Euro Million","65040.6"
"Outstanding amount of loans and securitisations","2004M10","Loans to households, including securitisations","Euro Million","91870"
"Outstanding amount of loans and securitisations","2004M10","Loans to non-financial corporations, including securitisations","Euro Million","65898.1"
"Outstanding amount of loans and securitisations","2004M11","Loans to households, including securitisations","Euro Million","93880"
"Outstanding amount of loans and securitisations","2004M11","Loans to non-financial corporations, including securitisations","Euro Million","68365.3"
"Outstanding amount of loans and securitisations","2004M12","Loans to households, including securitisations","Euro Million","95579"
"Outstanding amount of loans and securitisations","2004M12","Loans to non-financial corporations, including securitisations","Euro Million","70335.1"
"Outstanding amount of loans and securitisations","2005M01","Loans to households, including securitisations","Euro Million","97255"
"Outstanding amount of loans and securitisations","2005M01","Loans to non-financial corporations, including securitisations","Euro Million","71179.8"
"Outstanding amount of loans and securitisations","2005M02","Loans to households, including securitisations","Euro Million","98564"
"Outstanding amount of loans and securitisations","2005M02","Loans to non-financial corporations, including securitisations","Euro Million","72446.2"
"Outstanding amount of loans and securitisations","2005M03","Loans to households, including securitisations","Euro Million","100360"
"Outstanding amount of loans and securitisations","2005M03","Loans to non-financial corporations, including securitisations","Euro Million","74752.1"
"Outstanding amount of loans and securitisations","2005M04","Loans to households, including securitisations","Euro Million","102522"
"Outstanding amount of loans and securitisations","2005M04","Loans to non-financial corporations, including securitisations","Euro Million","75969.5"
"Outstanding amount of loans and securitisations","2005M05","Loans to households, including securitisations","Euro Million","105091"
"Outstanding amount of loans and securitisations","2005M05","Loans to non-financial corporations, including securitisations","Euro Million","77728.9"
"Outstanding amount of loans and securitisations","2005M06","Loans to households, including securitisations","Euro Million","107158"
"Outstanding amount of loans and securitisations","2005M06","Loans to non-financial corporations, including securitisations","Euro Million","80105.7"
"Outstanding amount of loans and securitisations","2005M07","Loans to households, including securitisations","Euro Million","109605"
"Outstanding amount of loans and securitisations","2005M07","Loans to non-financial corporations, including securitisations","Euro Million","81450.8"
"Outstanding amount of loans and securitisations","2005M08","Loans to households, including securitisations","Euro Million","111918"
"Outstanding amount of loans and securitisations","2005M08","Loans to non-financial corporations, including securitisations","Euro Million","83725.3"
"Outstanding amount of loans and securitisations","2005M09","Loans to households, including securitisations","Euro Million","114545"
"Outstanding amount of loans and securitisations","2005M09","Loans to non-financial corporations, including securitisations","Euro Million","85532.9"
"Outstanding amount of loans and securitisations","2005M10","Loans to households, including securitisations","Euro Million","116855"
"Outstanding amount of loans and securitisations","2005M10","Loans to non-financial corporations, including securitisations","Euro Million","87620.6"
"Outstanding amount of loans and securitisations","2005M11","Loans to households, including securitisations","Euro Million","119448"
"Outstanding amount of loans and securitisations","2005M11","Loans to non-financial corporations, including securitisations","Euro Million","92104"
"Outstanding amount of loans and securitisations","2005M12","Loans to households, including securitisations","Euro Million","121835"
"Outstanding amount of loans and securitisations","2005M12","Loans to non-financial corporations, including securitisations","Euro Million","93541.4"
"Outstanding amount of loans and securitisations","2006M01","Loans to households, including securitisations","Euro Million","123805"
"Outstanding amount of loans and securitisations","2006M01","Loans to non-financial corporations, including securitisations","Euro Million","95035"
"Outstanding amount of loans and securitisations","2006M02","Loans to households, including securitisations","Euro Million","126841"
"Outstanding amount of loans and securitisations","2006M02","Loans to non-financial corporations, including securitisations","Euro Million","96645.3"
"Outstanding amount of loans and securitisations","2006M03","Loans to households, including securitisations","Euro Million","126753"
"Outstanding amount of loans and securitisations","2006M03","Loans to non-financial corporations, including securitisations","Euro Million","101843.6"
"Outstanding amount of loans and securitisations","2006M04","Loans to households, including securitisations","Euro Million","129117"
"Outstanding amount of loans and securitisations","2006M04","Loans to non-financial corporations, including securitisations","Euro Million","103494.7"
"Outstanding amount of loans and securitisations","2006M05","Loans to households, including securitisations","Euro Million","131954"
"Outstanding amount of loans and securitisations","2006M05","Loans to non-financial corporations, including securitisations","Euro Million","106908.5"
"Outstanding amount of loans and securitisations","2006M06","Loans to households, including securitisations","Euro Million","135103"
"Outstanding amount of loans and securitisations","2006M06","Loans to non-financial corporations, including securitisations","Euro Million","110246.4"
"Outstanding amount of loans and securitisations","2006M07","Loans to households, including securitisations","Euro Million","138244"
"Outstanding amount of loans and securitisations","2006M07","Loans to non-financial corporations, including securitisations","Euro Million","112908.1"
"Outstanding amount of loans and securitisations","2006M08","Loans to households, including securitisations","Euro Million","140262"
"Outstanding amount of loans and securitisations","2006M08","Loans to non-financial corporations, including securitisations","Euro Million","115263.2"
"Outstanding amount of loans and securitisations","2006M09","Loans to households, including securitisations","Euro Million","142589"
"Outstanding amount of loans and securitisations","2006M09","Loans to non-financial corporations, including securitisations","Euro Million","118283.5"
"Outstanding amount of loans and securitisations","2006M10","Loans to households, including securitisations","Euro Million","145160"
"Outstanding amount of loans and securitisations","2006M10","Loans to non-financial corporations, including securitisations","Euro Million","121371.9"
"Outstanding amount of loans and securitisations","2006M11","Loans to households, including securitisations","Euro Million","147080"
"Outstanding amount of loans and securitisations","2006M11","Loans to non-financial corporations, including securitisations","Euro Million","125435.5"
"Outstanding amount of loans and securitisations","2006M12","Loans to households, including securitisations","Euro Million","149953"
"Outstanding amount of loans and securitisations","2006M12","Loans to non-financial corporations, including securitisations","Euro Million","128419.9"
"Outstanding amount of loans and securitisations","2007M01","Loans to households, including securitisations","Euro Million","151555"
"Outstanding amount of loans and securitisations","2007M01","Loans to non-financial corporations, including securitisations","Euro Million","129953.8"
"Outstanding amount of loans and securitisations","2007M02","Loans to households, including securitisations","Euro Million","152633"
"Outstanding amount of loans and securitisations","2007M02","Loans to non-financial corporations, including securitisations","Euro Million","132429.3"
"Outstanding amount of loans and securitisations","2007M03","Loans to households, including securitisations","Euro Million","155419"
"Outstanding amount of loans and securitisations","2007M03","Loans to non-financial corporations, including securitisations","Euro Million","134622.3"
"Outstanding amount of loans and securitisations","2007M04","Loans to households, including securitisations","Euro Million","156837"
"Outstanding amount of loans and securitisations","2007M04","Loans to non-financial corporations, including securitisations","Euro Million","137250.1"
"Outstanding amount of loans and securitisations","2007M05","Loans to households, including securitisations","Euro Million","158190"
"Outstanding amount of loans and securitisations","2007M05","Loans to non-financial corporations, including securitisations","Euro Million","140429.2"
"Outstanding amount of loans and securitisations","2007M06","Loans to households, including securitisations","Euro Million","160304"
"Outstanding amount of loans and securitisations","2007M06","Loans to non-financial corporations, including securitisations","Euro Million","143473.9"
"Outstanding amount of loans and securitisations","2007M07","Loans to households, including securitisations","Euro Million","162129"
"Outstanding amount of loans and securitisations","2007M07","Loans to non-financial corporations, including securitisations","Euro Million","144928.9"
"Outstanding amount of loans and securitisations","2007M08","Loans to households, including securitisations","Euro Million","163567"
"Outstanding amount of loans and securitisations","2007M08","Loans to non-financial corporations, including securitisations","Euro Million","146540.4"
"Outstanding amount of loans and securitisations","2007M09","Loans to households, including securitisations","Euro Million","164970"
"Outstanding amount of loans and securitisations","2007M09","Loans to non-financial corporations, including securitisations","Euro Million","149722.8"
"Outstanding amount of loans and securitisations","2007M10","Loans to households, including securitisations","Euro Million","166314"
"Outstanding amount of loans and securitisations","2007M10","Loans to non-financial corporations, including securitisations","Euro Million","152377.4"
"Outstanding amount of loans and securitisations","2007M11","Loans to households, including securitisations","Euro Million","168048"
"Outstanding amount of loans and securitisations","2007M11","Loans to non-financial corporations, including securitisations","Euro Million","152923.2"
"Outstanding amount of loans and securitisations","2007M12","Loans to households, including securitisations","Euro Million","169854"
"Outstanding amount of loans and securitisations","2007M12","Loans to non-financial corporations, including securitisations","Euro Million","156691.3"
"Outstanding amount of loans and securitisations","2008M01","Loans to households, including securitisations","Euro Million","170883"
"Outstanding amount of loans and securitisations","2008M01","Loans to non-financial corporations, including securitisations","Euro Million","157500.2"
"Outstanding amount of loans and securitisations","2008M02","Loans to households, including securitisations","Euro Million","171461"
"Outstanding amount of loans and securitisations","2008M02","Loans to non-financial corporations, including securitisations","Euro Million","159072"
"Outstanding amount of loans and securitisations","2008M03","Loans to households, including securitisations","Euro Million","172734"
"Outstanding amount of loans and securitisations","2008M03","Loans to non-financial corporations, including securitisations","Euro Million","161695.3"
"Outstanding amount of loans and securitisations","2008M04","Loans to households, including securitisations","Euro Million","173806"
"Outstanding amount of loans and securitisations","2008M04","Loans to non-financial corporations, including securitisations","Euro Million","163011.5"
"Outstanding amount of loans and securitisations","2008M05","Loans to households, including securitisations","Euro Million","174655"
"Outstanding amount of loans and securitisations","2008M05","Loans to non-financial corporations, including securitisations","Euro Million","164366.9"
"Outstanding amount of loans and securitisations","2008M06","Loans to households, including securitisations","Euro Million","176062"
"Outstanding amount of loans and securitisations","2008M06","Loans to non-financial corporations, including securitisations","Euro Million","166145.7"
"Outstanding amount of loans and securitisations","2008M07","Loans to households, including securitisations","Euro Million","177530"
"Outstanding amount of loans and securitisations","2008M07","Loans to non-financial corporations, including securitisations","Euro Million","167390.8"
"Outstanding amount of loans and securitisations","2008M08","Loans to households, including securitisations","Euro Million","178009"
"Outstanding amount of loans and securitisations","2008M08","Loans to non-financial corporations, including securitisations","Euro Million","169813.5"
"Outstanding amount of loans and securitisations","2008M09","Loans to households, including securitisations","Euro Million","178100"
"Outstanding amount of loans and securitisations","2008M09","Loans to non-financial corporations, including securitisations","Euro Million","169472"
"Outstanding amount of loans and securitisations","2008M10","Loans to households, including securitisations","Euro Million","177916"
"Outstanding amount of loans and securitisations","2008M10","Loans to non-financial corporations, including securitisations","Euro Million","169185.9"
"Outstanding amount of loans and securitisations","2008M11","Loans to households, including securitisations","Euro Million","178412"
"Outstanding amount of loans and securitisations","2008M11","Loans to non-financial corporations, including securitisations","Euro Million","168866.9"
"Outstanding amount of loans and securitisations","2008M12","Loans to households, including securitisations","Euro Million","178401"
"Outstanding amount of loans and securitisations","2008M12","Loans to non-financial corporations, including securitisations","Euro Million","164951.5"
"Outstanding amount of loans and securitisations","2009M01","Loans to households, including securitisations","Euro Million","184901"
"Outstanding amount of loans and securitisations","2009M01","Loans to non-financial corporations, including securitisations","Euro Million","166456.9"
"Outstanding amount of loans and securitisations","2009M02","Loans to households, including securitisations","Euro Million","184500"
"Outstanding amount of loans and securitisations","2009M02","Loans to non-financial corporations, including securitisations","Euro Million","166092"
"Outstanding amount of loans and securitisations","2009M03","Loans to households, including securitisations","Euro Million","183706"
"Outstanding amount of loans and securitisations","2009M03","Loans to non-financial corporations, including securitisations","Euro Million","163576.1"
"Outstanding amount of loans and securitisations","2009M04","Loans to households, including securitisations","Euro Million","182611"
"Outstanding amount of loans and securitisations","2009M04","Loans to non-financial corporations, including securitisations","Euro Million","162676.2"
"Outstanding amount of loans and securitisations","2009M05","Loans to households, including securitisations","Euro Million","182271"
"Outstanding amount of loans and securitisations","2009M05","Loans to non-financial corporations, including securitisations","Euro Million","162439.5"
"Outstanding amount of loans and securitisations","2009M06","Loans to households, including securitisations","Euro Million","182432"
"Outstanding amount of loans and securitisations","2009M06","Loans to non-financial corporations, including securitisations","Euro Million","160065.2"
"Outstanding amount of loans and securitisations","2009M07","Loans to households, including securitisations","Euro Million","181651"
"Outstanding amount of loans and securitisations","2009M07","Loans to non-financial corporations, including securitisations","Euro Million","157985.9"
"Outstanding amount of loans and securitisations","2009M08","Loans to households, including securitisations","Euro Million","181179"
"Outstanding amount of loans and securitisations","2009M08","Loans to non-financial corporations, including securitisations","Euro Million","157716.3"
"Outstanding amount of loans and securitisations","2009M09","Loans to households, including securitisations","Euro Million","179532"
"Outstanding amount of loans and securitisations","2009M09","Loans to non-financial corporations, including securitisations","Euro Million","157510.3"
"Outstanding amount of loans and securitisations","2009M10","Loans to households, including securitisations","Euro Million","178772"
"Outstanding amount of loans and securitisations","2009M10","Loans to non-financial corporations, including securitisations","Euro Million","155613.9"
"Outstanding amount of loans and securitisations","2009M11","Loans to households, including securitisations","Euro Million","178151"
"Outstanding amount of loans and securitisations","2009M11","Loans to non-financial corporations, including securitisations","Euro Million","154597.7"
"Outstanding amount of loans and securitisations","2009M12","Loans to households, including securitisations","Euro Million","177821"
"Outstanding amount of loans and securitisations","2009M12","Loans to non-financial corporations, including securitisations","Euro Million","150382"
